고유번호,화학물질의 명칭,CAS
97-1-222,이미다클로프리드[Imidacloprid; 105827-78-9] 및 이를 25% 이상 함유한 혼합물,105827-78-9
97-1-223,이미벤코나졸[Imibenconazole; 86598-92-7] 및 이를 25% 이상 함유한 혼합물,86598-92-7
97-1-224,이보텐산[Ibotenic acid; 2552-55-8] 및 이를 1% 이상 함유한 혼합물,2552-55-8
97-1-225,이사조포스[Isazofos; 42509-80-8] 및 이를 1% 이상 함유한 혼합물,42509-80-8
97-1-226,이소벤잔[Isobenzan; 297-78-9] 및 이를 1% 이상 함유한 혼합물,297-78-9
97-1-227,이소부틸아민[Isobutylamine; 78-81-9] 및 이를 25% 이상 함유한 혼합물,78-81-9
97-1-228,이소티오시안산 메틸[Methyl isothiocyanate; 556-61-6] 및 이를 1% 이상 함유한 혼합물,556-61-6
97-1-229,이소티오에이트[Isothioate; 36614-38-7] 및 이를 1% 이상 함유한 혼합물,36614-38-7
97-1-230,이소펜포스[Isofenphos; 25311-71-1] 및 이를 1% 이상 함유한 혼합물,25311-71-1
97-1-231,이소플루오르페이트[Isofluorphate; 55-91-4] 및 이를 1% 이상 함유한 혼합물,55-91-4
97-1-232,이속사티온[Isoxathion; 18854-01-8] 및 이를 1% 이상 함유한 혼합물,18854-01-8
97-1-233,이솔란[Isolan; 119-38-0] 및 이를 1% 이상 함유한 혼합물,119-38-0
97-1-234,이염화 1-[2-[에틸[4-[4-[4-[에틸(2-피리디노에틸)아미노]-2-메틸페닐아조]벤조일아미노]페닐아조]-3-메틸페닐]아미노]에틸]피리디늄[1-[2-[Ethyl[4-[4-[4-[ethyl(2-pyridinoethyl)amino]-2-methylphenylazo]benzoylamino]phenylazo]-3-methylphenyl]amino]ethyl]pyridinium dichloride; 163831-67-2] 및 이를 25% 이상 함유한 혼합물,163831-67-2
97-1-235,이옥시닐[Ioxynil; 1689-83-4] 및 이를 3% 이상 함유한 혼합물,1689-83-4
97-1-236,이프로벤포스[Iprobenfos; 26087-47-8] 및 이를 1% 이상 함유한 혼합물,26087-47-8
97-1-237,이플루오르화 암모늄[Ammonium bifluoride; 1341-49-7] 및 이를 1% 이상 함유한 혼합물,1341-49-7
97-1-238,이피엔[EPN; 2104-64-5] 및 이를 1% 이상 함유한 혼합물,2104-64-5
97-1-239,이황화 탄소[Carbon disulfide; 75-15-0] 및 이를 0.1% 이상 함유한 혼합물,75-15-0
97-1-240,인[White phosphorus; 12185-10-3] 및 이를 1% 이상 함유한 혼합물,12185-10-3
97-1-241,인화 아연[Zinc phosphide; 1314-84-7] 및 이를 1% 이상 함유한 혼합물,1314-84-7
97-1-242,인화 알루미늄[Aluminum phosphide; 20859-73-8] 및 그의 분해촉진제를 1% 이상 함유한 혼합물,20859-73-8
97-1-243,제타 싸이퍼메트린[Zeta cypermethrin; 52315-07-8] 및 이를 25% 이상 함유한 혼합물,52315-07-8
97-1-244,지람[Ziram; 137-30-4] 및 이를 1% 이상 함유한 혼합물,137-30-4
97-1-245,질산 탈륨[Thallium nitrate; 10102-45-1] 및 이를 1% 이상 함유한 혼합물,10102-45-1
97-1-246,질산[Nitric acid; 7697-37-2] 및 이를 10% 이상 함유한 혼합물,7697-37-2
97-1-247,치노메티오나트[Chinomethionat; 2439-01-2] 및 이를 25% 이상 함유한 혼합물,2439-01-2
97-1-248,카구로포스[Cargurophos; 106870-78-4] 및 이를 1% 이상 함유한 혼합물,106870-78-4
97-1-249,카두사포스[Cadusafos; 95465-99-9] 및 이를 1.0% 이상 함유한 혼합물,95465-99-9
97-1-250,"카드뮴화합물[Cadmium compounds] 및 이를 25% 이상 함유한 혼합물. 다만, 염화카드뮴(Cadmium chloride), 탄산카드뮴(cadmium carbonate), 불화붕소산카드뮴(cadmium fluoroborate), 질산카드뮴(cadmium nitrate), 산화카드뮴(cadmium oxide), 황산카드뮴(cadmium sulfate), 황화카드뮴(cadmium sulfide)의 경우 그 중 하나를 0.1% 이상 함유한 혼합물",#N/A
97-1-251,카바놀에이트[Carbanolate; 671-04-5] 및 이를 1% 이상 함유한 혼합물,671-04-5
97-1-252,카바릴[Carbaryl; 63-25-2] 및 이를 5% 이상 함유한 혼합물,63-25-2
97-1-253,카보술판[Carbosulfan; 55285-14-8] 및 이를 1% 이상 함유한 혼합물,55285-14-8
97-1-254,카보페노티온[Carbophenothion; 786-19-6] 및 이를 1% 이상 함유한 혼합물,786-19-6
97-1-255,카보푸란[Carbofuran; 1563-66-2] 및 이를 1% 이상 함유한 혼합물,1563-66-2
97-1-256,칼륨[Potassium; 7440-09-7] 및 이를 25% 이상 함유한 혼합물,7440-09-7
97-1-257,칼륨과 나트륨의 합금[Alloy of potassium and sodium; 11135-81-2] 및 이를 25% 이상 함유한 혼합물,11135-81-2
97-1-258,칼탑[Cartap; 15263-53-3]과 그 염류 및 그 중 칼탑으로서 2% 이상 함유한 혼합물,15263-53-3
97-1-259,캄페클로르[Camphechlor; 8001-35-2] 및 이를 1% 이상 함유한 혼합물,8001-35-2
97-1-260,켑타폴[Captafol; 2425-06-1] 및 이를 0.1% 이상 함유한 혼합물,2425-06-1
97-1-261,켑탄[Captan; 133-06-2] 및 이를 0.1% 이상 함유한 혼합물,133-06-2
97-1-262,쿠마클로르[Coumachlor; 81-82-3] 및 이를 1% 이상 함유한 혼합물,81-82-3
97-1-263,쿠마테트라릴[Coumatetralyl; 5836-29-3] 및 이를 1% 이상 함유한 혼합물,5836-29-3
97-1-264,쿠마퍼릴[Coumafuryl; 117-52-2] 및 이를 1% 이상 함유한 혼합물,117-52-2
97-1-265,쿠미토에이트[Coumithoate; 572-48-5] 및 이를 1% 이상 함유한 혼합물,572-48-5
97-1-266,퀴날포스[Quinalphos; 13593-03-8] 및 이를 1% 이상 함유한 혼합물,13593-03-8
97-1-267,퀴노클라민[Quinoclamine; 2797-51-5] 및 이를 1% 이상 함유한 혼합물,2797-51-5
97-1-268,크레졸[Cresol; 1319-77-3] 및 이를 5% 이상 함유한 혼합물,1319-77-3
97-1-269,크로톡시포스[Crotoxyphos; 7700-17-6] 및 이를 1% 이상 함유한 혼합물,7700-17-6
97-1-270,크로톤알데히드[Crotonaldehyde; 4170-30-3] 및 이를 1% 이상 함유한 혼합물,4170-30-3
97-1-271,"크롬산 염류[Chromic acid, salts] 및 이를 0.1% 이상 함유한 혼합물. 다만 크롬산납을 70% 이하 함유한 것은 제외",#N/A
97-1-272,크리미딘[Crimidine; 535-89-7]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,535-89-7
97-1-273,크리올라이트[Cryolite; 15096-52-3] 및 이를 1% 이상 함유한 혼합물,15096-52-3
97-1-274,크실레놀[Xylenol; 1300-71-6] 및 이를 5% 이상 함유한 혼합물,1300-71-6
97-1-275,크실렌[Xylene; 1330-20-7] 및 이를 85% 이상 함유한 혼합물,1330-20-7
97-1-276,클로로메틸 메틸 에테르[Chloromethyl methyl ether; 107-30-2] 및 이를 0.1% 이상 함유한 혼합물,107-30-2
97-1-277,클로로술폰산[Chlorosulfonic acid; 7790-94-5] 및 이를 25% 이상 함유한 혼합물,7790-94-5
97-1-278,클로로아세트산[Chloroacetic acid; 79-11-8] 및 이를 25% 이상 함유한 혼합물,79-11-8
97-1-279,클로로타로닐[Chlorothalonil; 1897-45-6] 및 이를 0.1% 이상 함유한 혼합물,1897-45-6
97-1-280,클로로파시논[Chlorophacinone; 3691-35-8] 및 이를 0.025% 이상 함유한 혼합물,3691-35-8
97-1-281,클로로포름[Chloroform; 67-66-3] 및 이를 85% 이상 함유한 혼합물,67-66-3
97-1-282,클로로프로뮤리트[Chloropromurite; 5836-73-7] 및 이를 1% 이상 함유한 혼합물,5836-73-7
97-1-283,클로로피크린[Chloropicrin; 76-06-2] 및 이를 1% 이상 함유한 혼합물,76-06-2
97-1-284,클로로히드린[Chlorohydrin; 96-24-2] 및 이를 1% 이상 함유한 혼합물,96-24-2
97-1-285,클로르단[Chlordan; 57-74-9] 및 이를 1% 이상 함유한 혼합물,57-74-9
97-1-286,클로르디메폼[Chlordimeform; 6164-98-3]과 그 염류 및 그 중 클로르디메폼으로서 3% 이상 함유한 혼합물,6164-98-3
97-1-287,클로르메포스[Chlormephos; 24934-91-6] 및 이를 1% 이상 함유한 혼합물,24934-91-6
97-1-288,클로르티오포스[Chlorthiophos; 21923-23-9] 및 이를 1% 이상 함유한 혼합물,21923-23-9
97-1-289,클로르펜빈포스[Chlorfenvinphos; 470-90-6] 및 이를 1% 이상 함유한 혼합물,470-90-6
97-1-290,클로르피리포스[Chlorpyrifos; 2921-88-2] 및 이를 1% 이상 함유한 혼합물,2921-88-2
97-1-291,클로에토캅[Cloethocarb; 51487-69-5] 및 이를 1% 이상 함유한 혼합물,51487-69-5
97-1-292,터브포스[Terbufos; 13071-79-9] 및 이를 1% 이상 함유한 혼합물,13071-79-9
97-1-293,테닐클로르[Thenylchlor;96491-05-3] 및 이를 25% 이상 함유한 혼합물,96491-05-3
97-1-294,테미빈포스[Themivinphos; 35996-61-3] 및 이를 1% 이상 함유한 혼합물,35996-61-3
97-1-295,테브펜피라드[Tebufenpyrad;119168-77-3] 및 이를 25% 이상 함유한 혼합물,119168-77-3
97-1-296,테트라알킬 납[Tetraalkyl lead] 및 이를 1% 이상 함유한 혼합물,#N/A
97-1-297,테트라클로로에틸렌[Tetrachloroethylene; 127-18-4] 및 이를 85% 이상 함유한 혼합물,127-18-4
97-1-298,톨루엔[Toluene;108-88-3] 및 이를 85% 이상 함유한 혼합물,108-88-3
97-1-299,"톨루엔디아민[Toluenediamine]과 그 염류 및 그 중 하나를 25% 이상 함유한 혼합물. 다만, 톨루엔-2,4-디아민(Toluene-2,4-diamine)과 이것의 황산염(Toluene-2,4-diamine sulfate)의 경우 이를 0.1% 이상 함유한 혼합물",#N/A
97-1-300,"톨루이딘[Toluidine]과 그 염류 및 그 중 하나를 25% 이상 함유한 혼합물. 다만, o-톨루이딘(o-Toluidine)의 경우 이를 0.1% 이상 함유한 혼합물",#N/A
97-1-301,톨릴플루아니드[Tolylfluanid; 731-27-1] 및 이를 25% 이상 함유한 혼합물,731-27-1
97-1-302,트랄로메트린[Tralomethrin; 66841-25-6] 및 이를 25% 이상 함유한 혼합물,66841-25-6
97-1-303,"트리스(도데실벤젠술폰산) 1,1'-이미노디(옥타메틸렌)디구아니디늄[1,1'-Iminodi(octamethylene)diguanidinium tris(dodecylbenzenesulfonate); 99257-43-9] 및 이를 25% 이상 함유한 혼합물",99257-43-9
97-1-304,트리아미포스[Triamiphos; 1031-47-6] 및 이를 1% 이상 함유한 혼합물,1031-47-6
97-1-305,트리아자메이트[Triazamate; 112143-82-5] 및 이를 25% 이상 함유한 혼합물,112143-82-5
97-1-306,트리아조포스[Triazophos; 24017-47-8] 및 이를 1% 이상 함유한 혼합물,24017-47-8
97-1-307,트리클로로나트[Trichloronat; 327-98-0] 및 이를 1% 이상 함유한 혼합물,327-98-0
97-1-308,트리클로로아세트산[Trichloroacetic acid; 76-03-9] 및 이를 25% 이상 함유한 혼합물,76-03-9
97-1-309,트리클로로에틸렌[Trichloroethylene; 79-01-6] 및 이를 85% 이상 함유한 혼합물,79-01-6
97-1-310,트리클로르폰[Trichlorfon; 52-68-6] 및 이를 10% 이상 함유한 혼합물,52-68-6
97-1-311,트리페닐포스핀[Triphenylphosphine;603-35-0] 및 이를 25% 이상 함유한 혼합물,603-35-0
97-1-312,트리플루라린[Trifluralin; 1582-09-8] 및 이를 1% 이상 함유한 혼합물,1582-09-8
97-1-313,트리플루오로보란[Trifluoroborane; 7637-07-2] 및 이를 1.0% 이상 함유한 혼합물,7637-07-2
97-1-314,트리플릭산[Triflic acid; 1493-13-6] 및 이를 1% 이상 함유한 혼합물,1493-13-6
97-1-315,티람[Thiram; 137-26-8] 및 이를 25% 이상 함유한 혼합물,137-26-8
97-1-316,티오나진[Thionazin; 297-97-2] 및 이를 1% 이상 함유한 혼합물,297-97-2
97-1-317,티오디캅[Thiodicarb; 59669-26-0] 및 이를 1% 이상 함유한 혼합물,59669-26-0
97-1-318,티오메톤[Thiometon; 640-15-3] 및 이를 1% 이상 함유한 혼합물,640-15-3
97-1-319,티오세미카르바지드[Thiosemicarbazide; 79-19-6] 및 이를 1% 이상 함유한 혼합물,79-19-6
97-1-320,티오시아노아세트산 에틸[Ethyl thiocyanoacetate; 5349-28-0] 및 이를 1% 이상 함유한 혼합물,5349-28-0
97-1-321,티오시클람[Thiocyclam; 31895-21-3] 및 이를 3% 이상 함유한 혼합물,31895-21-3
97-1-322,티오파녹스[Thiofanox; 39196-18-4] 및 이를 1.0% 이상 함유한 혼합물,39196-18-4
97-1-323,"파라콰트 염류[Paraquat, salts] 및 이를 1% 이상 함유한 혼합물",#N/A
97-1-324,파라티온-메틸[Parathion-methyl; 298-00-0] 및 이를 1% 이상 함유한 혼합물,298-00-0
97-1-325,파라티온[Parathion; 56-38-2] 및 이를 1% 이상 함유한 혼합물,56-38-2
97-1-326,팜퍼[Famphur; 52-85-7] 및 이를 1% 이상 함유한 혼합물,52-85-7
97-1-327,퍼플루오로옥탄산 테트라메틸암모늄[Tetramethylammonium perfluorooctanenoate; 부여안됨] 및 이를 25% 이상 함유한 혼합물,#N/A
97-1-328,페나미포스[Fenamiphos; 22224-92-6] 및 이를 1% 이상 함유한 혼합물,22224-92-6
97-1-329,페나자퀸[Fenazaquin; 120928-09-8] 및 이를 25% 이상 함유한 혼합물,120928-09-8
97-1-330,페노티오캅[Fenothiocarb; 62850-32-2] 및 이를 25% 이상 함유한 혼합물,62850-32-2
97-1-331,페녹사프롭-피[Fenoxaprop-p; 71283-80-2] 및 이를 25% 이상 함유한 혼합물,71283-80-2
97-1-332,페놀[Phenol; 108-95-2] 및 이를 5% 이상 함유한 혼합물,108-95-2
97-1-333,페니트로티온[Fenitrothion;122-14-5] 및 이를 25% 이상 함유한 혼합물,122-14-5
97-1-334,페닐렌디아민[Phenylenediamine; 25265-76-3] 및 그 염류를 25% 이상 함유한 혼합물,25265-76-3
97-1-335,페닐히드라진[Phenylhydrazine; 100-63-0] 및 이를 1% 이상 함유한 혼합물,100-63-0
97-1-336,펜발러레이트[Fenvalerate; 51630-58-1] 및 이를 1% 이상 함유한 혼합물,51630-58-1
97-1-337,펜술포티온[Fensulfothion; 115-90-2] 및 이를 1% 이상 함유한 혼합물,115-90-2
97-1-338,펜캅톤[Phencapton; 2275-14-1] 및 이를 1.5% 이상 함유한 혼합물,2275-14-1
97-1-339,펜타클로로페놀[Pentachlorophenol; 87-86-5]과 그 염류 및 그 중 펜타클로로페놀로서 1% 이상 함유한 혼합물,87-86-5
97-1-340,펜토에이트[Phenthoate; 2597-03-7] 및 이를 3% 이상 함유한 혼합물,2597-03-7
97-1-341,펜티온[Fenthion; 55-38-9] 및 이를 2% 이상 함유한 혼합물,55-38-9
97-1-342,펜피록시메이트[Fenpyroximate; 134098-61-6] 및 이를 25% 이상 함유한 혼합물,134098-61-6
97-1-343,포노포스[Fonofos; 944-22-9] 및 이를 1% 이상 함유한 혼합물,944-22-9
97-1-344,포레이트[Phorate; 298-02-2] 및 이를 1.0% 이상 함유한 혼합물,298-02-2
97-1-345,포르말린[Formalin; 50-00-0] 및 포름알데히드로서 1% 이상 함유한 혼합물,50-00-0
97-1-346,포르모티온[Formothion; 2540-82-1] 및 이를 25% 이상 함유한 혼합물,2540-82-1
97-1-347,포메탄에이트[Formetanate; 22259-30-9] 및 이를 1% 이상 함유한 혼합물,22259-30-9
97-1-348,포살론[Phosalone; 2310-17-0] 및 이를 2.2% 이상 함유한 혼합물,2310-17-0
97-1-349,포스겐[Phosgene; 75-44-5] 및 이를 1.0% 이상 함유한 혼합물,75-44-5
97-1-350,포스멧[Phosmet; 732-11-6] 및 이를 1% 이상 함유한 혼합물,732-11-6
97-1-351,포스아세팀[Phosacetim; 4104-14-7] 및 이를 1% 이상 함유한 혼합물,4104-14-7
97-1-352,포스티아제이트[Fosthiazate; 98886-44-3] 및 이를 25% 이상 함유한 혼합물,98886-44-3
97-1-353,포스티에탄[Fosthiethan; 21548-32-3] 및 이를 1% 이상 함유한 혼합물,21548-32-3
97-1-354,포스파미돈[Phosphamidon; 13171-21-6] 및 이를 1% 이상 함유한 혼합물,13171-21-6
97-1-355,포스폴란[Phosfolan; 947-02-4] 및 이를 1% 이상 함유한 혼합물,947-02-4
97-1-356,포스핀[Phosphine; 7803-51-2] 및 이를 1% 이상 함유한 혼합물,7803-51-2
97-1-357,폴펫[Folpet; 133-07-3] 및 이를 0.1% 이상 함유한 혼합물,133-07-3
97-1-358,푸라티오캅[Furathiocarb; 65907-30-4] 및 이를 1% 이상 함유한 혼합물,65907-30-4
97-1-359,푸르푸랄[Furfural; 98-01-1] 및 이를 1% 이상 함유한 혼합물,98-01-1
97-1-360,푸지티온[Fujithion; 3309-87-3] 및 이를 1% 이상 함유한 혼합물,3309-87-3
97-1-361,프로메캅[Promecarb; 2631-37-0] 및 이를 1% 이상 함유한 혼합물,2631-37-0
97-1-362,프로토에이트[Prothoate; 2275-18-5] 및 이를 1% 이상 함유한 혼합물,2275-18-5
97-1-363,프로파르지트[Propargite; 2312-35-8] 및 이를 1% 이상 함유한 혼합물,2312-35-8
97-1-364,프로파퀴자포프[Propaquizafop; 111479-05-1] 및 이를 25% 이상 함유한 혼합물,111479-05-1
97-1-365,프로파포스[Propaphos; 7292-16-2] 및 이를 1% 이상 함유한 혼합물,7292-16-2
97-1-366,프로페노포스[Profenofos;41198-08-7] 및 이를 25% 이상 함유한 혼합물,41198-08-7
97-1-367,프로페탐포스[Propetamphos; 31218-83-4] 및 이를 1% 이상 함유한 혼합물,31218-83-4
97-1-368,프로폭서[Propoxur; 114-26-1] 및 이를 1% 이상 함유한 혼합물,114-26-1
97-1-369,프탈산 수소 테트라메틸암모늄[Tetramethylammonium hydrogen phthalate; 79723-02-7] 및 이를 1% 이상 함유한 혼합물,79723-02-7
97-1-370,플로쿠마펜[Flocoumafen; 90035-08-8] 및 이를 1% 이상 함유한 혼합물,90035-08-8
97-1-371,플루디옥소닐[Fludioxonil; 131341-86-1] 및 이를 25% 이상 함유한 혼합물,131341-86-1
97-1-372,플루발린에이트[Fluvalinate;69409-94-5] 및 이를 25% 이상 함유한 혼합물,69409-94-5
97-1-373,플루술파미드[Flusulfamide;106917-52-6] 및 이를 25% 이상 함유한 혼합물,106917-52-6
97-1-374,플루싸이트린에이트[Flucythrinate; 70124-77-5] 및 이를 25% 이상 함유한 혼합물,70124-77-5
97-1-375,플루아지남[Fluazinam; 79622-59-6] 및 이를 25% 이상 함유한 혼합물,79622-59-6
97-1-376,플루오로규산[Fluorosilicic acid; 16961-83-4]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,16961-83-4
97-1-377,"플루오로붕산[Fluoroboric acid; 16872-11-0] 및 그 염류를 25%이상 함유한 혼합물. 다만, 플루오로붕산 1-에틸-3-메틸-1H-이미다졸리움(1-Ethyl-3-methyl-1H-imidazolium, tetrafluoroborate(1-); 143314-16-3)은 제외",16872-11-0
97-1-378,플루오로아세토-p-브로모아닐린[Fluoroaceto-p-bromoaniline; 351-05-3] 및 이를 1% 이상 함유한 혼합물,351-05-3
97-1-379,플루오로아세트산[Fluoroacetic acid; 144-49-0]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,144-49-0
97-1-380,플루오로아세트아미드[Fluoroacetamide; 640-19-7] 및 이를 1% 이상 함유한 혼합물,640-19-7
97-1-381,플루오르화 나트륨[Sodium fluoride; 7681-49-4] 및 이를 25% 이상 함유한 혼합물,7681-49-4
97-1-382,플루오르화 수소[Hydrogen fluoride; 7664-39-3] 및 이를 1% 이상 함유한 혼합물,7664-39-3
97-1-383,플루오르화 술퍼릴[Sulfuryl fluoride; 2699-79-8] 및 이를 1% 이상 함유한 혼합물,2699-79-8
97-1-384,플루오르화 칼륨[Potassium fluoride; 7789-23-3] 및 이를 25% 이상 함유한 혼합물,7789-23-3
97-1-385,피라조티온[Pyrazothion; 108-35-0] 및 이를 1% 이상 함유한 혼합물,108-35-0
97-1-386,피라족손[Pyrazoxon; 108-34-9] 및 이를 1% 이상 함유한 혼합물,108-34-9
97-1-387,피라클로포스[Pyraclofos; 89784-60-1] 및 이를 25% 이상 함유한 혼합물,89784-60-1
97-1-388,피로인산 테트라에틸[Tetraethyl pyrophosphate; 107-49-3] 및 이를 1% 이상 함유한 혼합물,107-49-3
97-1-389,피리다벤[Pyridaben; 96489-71-3] 및 이를 25% 이상 함유한 혼합물,96489-71-3
97-1-390,피리미닐[Pyriminil; 53558-25-1] 및 이를 1% 이상 함유한 혼합물,53558-25-1
97-1-391,피리미캅[Pirimicarb; 23103-98-2] 및 이를 1% 이상 함유한 혼합물,23103-98-2
97-1-392,피리미테이트[Pyrimitate; 5221-49-8] 및 이를 1% 이상 함유한 혼합물,5221-49-8
97-1-393,피리미포스-에틸[Pirimiphos-ethyl; 23505-41-1] 및 이를 1% 이상 함유한 혼합물,23505-41-1
97-1-394,"피시비[PCBs; 1336-36-3] 및 이를 0.005% 이상 함유한 혼합물. 다만, 치환된 염소수가 3개미만인 경우는 제외",1336-36-3
97-1-395,"피크릭 산[Picric acid; 88-89-1] 및 그 염류를 25% 이상 함유한 혼합물. 다만, 폭발약은 제외",88-89-1
97-1-396,피프로닐[Fipronil; 120068-37-3] 및 이를 25% 이상 함유한 혼합물,120068-37-3
97-1-397,피프록타닐 염류[Piproctanyl salts] 및 이를 1% 이상 함유한 혼합물,#N/A
97-1-398,핀돈[Pindone; 83-26-1] 및 이를 1% 이상 함유한 혼합물,83-26-1
97-1-399,할로겐화 히단토인[Halogenated hydantoin ; 16079-88-2] 및 이를 1% 이상 함유한 혼합물,16079-88-2
97-1-400,할펜프록스[Halfenprox; 111872-58-3] 및 이를 25% 이상 함유한 혼합물,111872-58-3
97-1-401,헥사에틸 테트라포스페이트[Hexaethyl tetraphos-phate; 757-58-4] 및 이를 1% 이상 함유한 혼합물,757-58-4
97-1-402,헥사클로로시클로펜타디엔[Hexachlorocyclopentadiene; 77-47-4] 및 이를 25% 이상 함유한 혼합물,77-47-4
97-1-403,헵타클로르[Heptachlor; 76-44-8] 및 이를 1.0% 이상 함유한 혼합물,76-44-8
97-1-404,헵테노포스[Heptenophos; 23560-59-0] 및 이를 1% 이상 함유한 혼합물,23560-59-0
97-1-405,황산[Sulfuric acid; 7664-93-9] 및 이를 10% 이상 함유한 혼합물,7664-93-9
97-1-406,황산 디메틸[Dimethyl sulfate; 77-78-1] 및 이를 0.1% 이상 함유한 혼합물,77-78-1
97-1-407,황산 디에틸[Diethyl sulfate; 64-67-5] 및 이를 0.1% 이상 함유한 혼합물,64-67-5
97-1-408,황산 탈륨[Thallium sulfate; 7446-18-6] 및 이를 1% 이상 함유한 혼합물,7446-18-6
97-1-409,히드라진[Hydrazine; 302-01-2] 및 이를 0.1% 이상 함유한 혼합물,302-01-2
97-1-410,히드라진 수화물[Hydrazine hydrate] 및 이를 25% 이상 함유한 혼합물,#N/A
97-1-411,히드록실아민[Hydroxylamine; 7803-49-8]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,7803-49-8
97-1-412,2-나프틸아민[2-Naphthylamine; 91-59-8]과 그 염산염 및 그 중 하나를 0.1% 이상 함유한 혼합물,91-59-8
97-1-413,"2,4-디[2,4-D; 94-75-7] 및 이를 25% 이상 함유한 혼합물",94-75-7
97-1-414,"2,4-디니트로아닐린[2,4-Dinitroaniline; 97-02-9] 및 이를 1.0% 이상 함유한 혼합물",97-02-9
97-1-415,"2,4-디니트로페놀[2,4-Dinitrophenol; 51-28-5] 및 이를 25% 이상 함유한 혼합물",51-28-5
97-1-416,"N-(1,3-디메틸부틸-N'-페닐-p-페닐렌디아민)[N-(1,3-Dimethylbutyl)-N'-phenyl-p-phenylenediamine; 793-24-8] 및 이를 25% 이상 함유한 혼합물",793-24-8
97-1-417,p-디메틸아미노벤젠디아조 술폰산[p-Dimethylaminobenzenediazo sulfonate; 150-70-9]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,150-70-9
97-1-418,"1,2-디브로모에탄[1,2-Dibromoethane; 106-93-4] 및 이를 0.1% 이상 함유한 혼합물",106-93-4
97-1-419,"1,2-디브로모-3-클로로프로판[1,2-Dibromo-3-chloropropane; 96-12-8] 및 이를 0.1% 이상 함유한 혼합물",96-12-8
97-1-420,"2,3-디브로모프로판 니트릴[2,3-Dibromopropane nitrile; 4554-16-9] 및 이를 1% 이상 함유한 혼합물",4554-16-9
97-1-421,"3,3-디아세톡시-1-프로펜[3,3-Diacetoxy-1-propene; 869-29-4] 및 이를 1% 이상 함유한 혼합물",869-29-4
97-1-422,"O,O-디에틸 O-1-페닐-3-트리플루오로메틸피라졸-5-일티오인산[O,O-Diethyl O-1-phenyl-3-trifluoromethylpyrazol-5-ylphosphorothioate; 122431-24-7] 및 이를 25% 이상 함유한 혼합물",122431-24-7
97-1-423,"4,4'-디이소시안산 디페닐메탄[Diphenylmethane 4,4'-diisocyanate; 101-68-8] 및 이를 25% 이상 함유한 혼합물",101-68-8
97-1-424,"1,1-디클로로-1-니트로에탄[1,1-Dichloro-1-nitroethane; 594-72-9] 및 이를 1% 이상 함유한 혼합물",594-72-9
97-1-425,"2,4-디클로로-6-니트로페놀[2,4-Dichloro-6-nitrophenol; 609-89-2]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물",609-89-2
97-1-426,"4-(2,4-디클로로-3-메틸벤조일)-1,3-디-디메틸-5-피라졸산 나트륨[Sodium 4-(2,4-Dichloro-3-methylbenzoyl)-1,3-di-dimethyl-5-pyrazolate; 172343-40-7] 및 이를 25% 이상 함유한 혼합물",172343-40-7
97-1-427,"1,3-디클로로-2-프로판올[1,3-Dichloro-2-propanol; 96-23-1] 및 이를 0.1% 이상 함유한 혼합물",96-23-1
97-1-428,"1,3-디클로로프로펜[1,3-Dichloropropene; 542-75-6] 및 이를 1.0% 이상 함유한 혼합물",542-75-6
97-1-429,삭제,#N/A
97-1-430,"4,4'-디피리딜[4,4'-Dipyridyl; 553-26-4] 및 이를 25% 이상 함유한 혼합물",553-26-4
97-1-431,4-메르캅토페닐 메탄 술폰산[4-Mercaptophenyl methane sulfonate; 62262-84-4] 및 이를 25% 이상 함유한 혼합물,62262-84-4
97-1-432,"1,1'-메틸렌비스[4-이소시아나토시클로헥산][1,1'-Methylenebis[4-isocyanatocyclohexane]; 5124-30-1]및 이를 25% 이상 함유한 혼합물",5124-30-1
97-1-433,2-메틸프로판니트릴[2-Methylpropanenitrile; 78-82-0] 및 이를 25% 이상 함유한 혼합물,78-82-0
97-1-434,"1,4-벤조퀴논[1,4-benzoquinone; 106-51-4] 및 이를 1% 이상 함유한 혼합물",106-51-4
97-1-435,"2-부틴-1,4-디올[2-Butyne-1,4-diol; 110-65-6] 및 이를 25% 이상 함유한 혼합물",110-65-6
97-1-436,2-n-부틸-벤조[d]이소티아졸-3-one[2-n-Butyl-benzo[d]isothiazol-3-one; 4299-07-4] 및 이를 25% 이상 함유한 혼합물,4299-07-4
97-1-437,N-부틸피롤리딘[N-Butylpyrrolidine; 767-10-2] 및 이를 25% 이상 함유한 혼합물,767-10-2
97-1-438,2-브로모에탄올[2-Bromoethanol; 540-51-2] 및 이를 25% 이상 함유한 혼합물,540-51-2
97-1-439,1-브로모-2-클로로에탄[1-Bromo-2-chloroethane; 107-04-0] 및 이를 25% 이상 함유한 혼합물,107-04-0
97-1-440,4-브로모-2-(4-클로로페닐)-1-(에톡시메틸)-5-(트리플루오로메틸)피롤-3-카보니트릴[4-Bromo-2-(4-chlorophenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)pyrrole-3-carbonitrile; 122453-73-0] 및 이를 25% 이상 함유한 혼합물,122453-73-0
